iter	MAPE	RMSE	R2
0	0.4891677708	0.9243760333	0.1348476005
1	0.4511227703	0.8614421208	0.2486410409
2	0.4183518618	0.8058701427	0.3424551295
3	0.3867553823	0.7560537214	0.421237247
4	0.3566067819	0.70979815	0.4898886471
5	0.3340792524	0.6686258958	0.5473509131
6	0.310855978	0.633699542	0.5934049851
7	0.2924308702	0.6027340881	0.6321703185
8	0.2761879942	0.5743639791	0.6659821669
9	0.2631913198	0.5504593186	0.693206807
10	0.2500374246	0.5294068136	0.71622488
11	0.239687181	0.5107750993	0.7358475173
12	0.2292349763	0.4937701034	0.7531433421
13	0.2207317787	0.47911403	0.7675802444
14	0.2131310734	0.4662138589	0.7799275786
15	0.2062930922	0.4544285706	0.7909132464
16	0.2002674263	0.4436716858	0.800694772
17	0.1939829011	0.4346120447	0.8087511735
18	0.1899063694	0.4260296985	0.8162298319
19	0.1848758431	0.4191090927	0.8221518183
20	0.181570595	0.4127280417	0.8275261663
21	0.1777728688	0.4063561777	0.8328105011
22	0.1757499065	0.4011076612	0.8371014655
23	0.1734401554	0.396239937	0.8410312516
24	0.1693249092	0.3907694909	0.8453903627
25	0.1669584183	0.3859484831	0.8491817352
26	0.1644621812	0.3807576472	0.8532113312
27	0.1620189187	0.3768405061	0.8562160469
28	0.1605184589	0.3726629584	0.8593862736
29	0.1579645444	0.3687598684	0.8623162882
30	0.1567023498	0.3656057557	0.8646615148
31	0.1559375579	0.3638479699	0.8659597666
32	0.1542350085	0.361542922	0.867652729
33	0.1530776377	0.3586750255	0.8697440596
34	0.1522504881	0.3559781913	0.8716954531
35	0.1514055443	0.3535905615	0.8734108189
36	0.1504688534	0.3511547234	0.8751489233
37	0.1492590729	0.3490248394	0.8766588666
38	0.1488594201	0.3474908377	0.8777406791
39	0.1482388525	0.3456667454	0.879020868
40	0.1473893866	0.3432708894	0.8806920967
41	0.1467103537	0.3416188313	0.8818377184
42	0.1461266274	0.3401125409	0.8828774405
43	0.1452845045	0.3388484945	0.8837464071
44	0.1451569581	0.3376441719	0.8845713069
45	0.1446463884	0.3361485167	0.885591666
46	0.143841816	0.3348064754	0.8865033714
47	0.1433082103	0.3331562018	0.8876194722
48	0.1432458127	0.3322565443	0.8882255991
49	0.1429272317	0.3314406054	0.8887739049
50	0.1424590599	0.3306540353	0.8893011989
51	0.1423820629	0.3297243741	0.8899228015
52	0.1423214606	0.3289102806	0.8904656943
53	0.1413931042	0.327699696	0.8912705127
54	0.1411353847	0.3266628744	0.8919574511
55	0.1403676076	0.3252105279	0.892916032
56	0.1403300776	0.324552069	0.8933492222
57	0.1402982143	0.3239816314	0.8937237947
58	0.1398792446	0.3228529417	0.8944629966
59	0.1395868926	0.321672598	0.8952332682
60	0.1390496382	0.3205742611	0.8959474895
61	0.1385327799	0.3197297603	0.8964949863
62	0.1385169783	0.3189997681	0.8969670824
