iter	Passed	Remaining
0	66	133549
1	152	152112
2	218	145692
3	301	150298
4	366	146414
5	413	137302
6	474	135134
7	536	133602
8	610	135044
9	718	143050
10	815	147543
11	911	151076
12	997	152449
13	1073	152271
14	1145	151605
15	1215	150696
16	1285	149966
17	1353	149074
18	1459	152212
19	1543	152849
20	1607	151450
21	1689	151869
22	1750	150446
23	1828	150544
24	1890	149333
25	1953	148332
26	2010	146928
27	2062	145241
28	2139	145421
29	2197	144294
30	2261	143629
31	2331	143374
32	2402	143210
33	2469	142813
34	2540	142627
35	2589	141251
36	2632	139662
37	2677	138250
38	2725	137021
39	2763	135427
40	2798	133737
41	2841	132487
42	2887	131416
43	2921	129887
44	2979	129460
45	3026	128575
46	3067	127481
47	3108	126428
48	3145	125247
49	3189	124397
50	3226	123320
51	3274	122671
52	3334	122495
53	3389	122161
54	3470	122736
55	3538	122825
56	3579	122000
57	3625	121400
58	3660	120436
59	3697	119541
60	3739	118871
61	3777	118074
62	3814	117294
63	3854	116602
64	3891	115857
65	3923	114968
66	3973	114635
67	4018	114173
68	4059	113601
69	4100	113052
70	4141	112520
71	4180	111946
72	4215	111273
73	4258	110843
74	4302	110425
75	4351	110164
76	4405	110011
77	4490	110662
78	4617	112288
79	4666	112004
80	4707	111536
81	4751	111135
82	4806	111019
83	4860	110866
84	4919	110824
85	4985	110958
86	5040	110837
87	5091	110621
88	5155	110688
89	5199	110342
90	5237	109878
91	5278	109476
92	5324	109175
93	5366	108816
94	5425	108798
95	5491	108914
96	5555	108983
97	5597	108641
98	5640	108314
99	5679	107911
100	5715	107471
101	5754	107079
102	5794	106721
103	5833	106342
104	5870	105948
105	5912	105637
106	5985	105899
107	6033	105706
108	6072	105353
109	6114	105062
110	6154	104732
111	6197	104469
112	6235	104119
113	6276	103840
114	6321	103611
115	6362	103339
116	6414	103239
117	6484	103421
118	6550	103536
119	6602	103442
120	6659	103418
121	6702	103170
122	6744	102918
123	6790	102727
124	6837	102562
125	6886	102423
126	6936	102301
127	6998	102346
128	7040	102117
129	7082	101874
130	7123	101627
131	7164	101387
132	7206	101156
133	7251	100973
134	7291	100728
135	7337	100570
136	7377	100324
137	7430	100260
138	7498	100399
139	7568	100553
140	7611	100352
141	7654	100161
142	7691	99888
143	7729	99622
144	7767	99373
145	7809	99166
146	7844	98888
147	7887	98705
148	7930	98525
149	7973	98338
150	8029	98324
151	8070	98124
152	8115	97974
153	8159	97804
154	8201	97627
155	8246	97473
156	8279	97197
157	8323	97032
158	8365	96865
159	8409	96711
160	8483	96898
161	8553	97047
162	8608	97021
163	8653	96875
164	8690	96650
165	8719	96330
166	8759	96141
167	8804	96010
168	8844	95820
169	8885	95647
170	8931	95533
171	8970	95340
172	9022	95288
173	9089	95385
174	9127	95187
175	9173	95073
176	9217	94932
177	9262	94815
